Date,Price,Open,High,Low,Vol.,Change %
11/16/2021,"4,401.49","4,393.80","4,406.46","4,389.52",23.20M,0.35%
11/15/2021,"4,386.19","4,364.52","4,386.19","4,364.52",22.95M,0.36%
11/12/2021,"4,370.33","4,357.90","4,372.32","4,352.43",21.91M,0.28%
11/11/2021,"4,358.00","4,347.26","4,358.80","4,334.93",21.88M,0.21%
11/10/2021,"4,348.82","4,349.80","4,358.46","4,330.29",26.21M,0.10%
11/9/2021,"4,344.63","4,346.62","4,364.04","4,337.66",24.14M,-0.18%
11/8/2021,"4,352.53","4,359.74","4,366.54","4,352.45",24.73M,-0.24%
11/5/2021,"4,363.04","4,330.14","4,375.04","4,330.14",31.45M,0.69%
11/4/2021,"4,333.34","4,314.51","4,340.81","4,314.51",37.96M,0.55%
11/3/2021,"4,309.61","4,292.59","4,309.66","4,291.10",28.69M,0.31%
11/2/2021,"4,296.22","4,276.72","4,297.45","4,273.10",24.98M,0.37%
11/1/2021,"4,280.47","4,256.93","4,291.81","4,256.93",28.15M,0.70%
10/29/2021,"4,250.56","4,228.73","4,250.68","4,187.81",35.86M,0.39%
10/28/2021,"4,233.87","4,220.74","4,236.20","4,213.17",29.45M,0.31%
10/27/2021,"4,220.88","4,220.74","4,226.99","4,205.42",30.33M,-0.07%
10/26/2021,"4,223.97","4,187.55","4,230.88","4,187.55",26.05M,0.85%
10/25/2021,"4,188.31","4,194.84","4,198.97","4,185.14",25.37M,-0.01%
10/22/2021,"4,188.81","4,158.44","4,203.67","4,158.44",23.22M,0.80%
10/21/2021,"4,155.73","4,163.62","4,166.50","4,140.06",23.62M,-0.39%
10/20/2021,"4,172.17","4,164.50","4,178.95","4,143.83",26.14M,0.13%
10/19/2021,"4,166.83","4,159.22","4,169.61","4,151.44",29.47M,0.37%
10/18/2021,"4,151.40","4,177.73","4,177.73","4,131.41",32.05M,-0.75%
10/15/2021,"4,182.91","4,160.04","4,186.61","4,159.07",52.84M,0.82%
10/14/2021,"4,149.06","4,088.14","4,151.76","4,088.14",34.75M,1.61%
10/13/2021,"4,083.28","4,052.48","4,092.73","4,040.31",30.58M,0.70%
10/12/2021,"4,055.09","4,058.54","4,063.48","4,019.55",27.49M,-0.43%
10/11/2021,"4,072.52","4,071.15","4,076.80","4,043.78",28.50M,-0.02%
10/8/2021,"4,073.29","4,097.12","4,101.96","4,073.29",30.08M,-0.61%
10/7/2021,"4,098.34","4,037.48","4,099.39","4,037.48",44.37M,2.14%
10/6/2021,"4,012.65","4,049.64","4,049.64","3,965.87",45.05M,-1.30%
10/5/2021,"4,065.43","4,002.61","4,066.64","4,001.42",43.06M,1.73%
10/4/2021,"3,996.41","4,026.70","4,037.35","3,993.87",26.07M,-0.96%
10/1/2021,"4,035.30","4,037.16","4,055.01","3,981.81",34.49M,-0.32%
9/30/2021,"4,048.08","4,089.16","4,116.35","4,048.08",39.72M,-0.79%
